avg_monthly_hrs,filed_complaint,last_evaluation,n_projects,recently_promoted,satisfaction,tenure,department_admin,department_engineering,department_finance,department_information_technology,department_management,department_marketing,department_other,department_procurement,department_product,department_sales,department_support,department_temp,salary_low,salary_medium
0.41254052899710725,1.0,1.3097459479574634,0.1767471830550451,1.0,0.8371794747946552,1.036908196500806,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.6290139268029651,1.0,6.782515929766471e-16,-0.623343409283939,1.0,0.8558317293683081,-1.026071289114244,0,0,0,0,0,0,0,0,0,0,1,0,1,0
-0.3155972636225966,1.0,0.4297978301108725,-0.623343409283939,1.0,0.8576129028731843,-0.338411460575894,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.1173495319891192,1.0,-0.8723174899840221,0.1767471830550451,1.0,-0.7887403746264061,-1.026071289114244,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.9635637234120182,1.0,0.7742781663892175,-0.623343409283939,1.0,0.6330902322209848,-0.338411460575894,0,0,0,0,0,0,0,0,0,1,0,0,1,0
-1.1814908548460281,1.0,-0.7903972432267944,0.1767471830550451,1.0,0.15541329255317107,0.34924836796245595,0,0,0,0,0,0,0,0,0,1,0,0,0,1
-1.5553994510561464,1.0,-0.568626287151049,-0.623343409283939,1.0,0.8599524211673225,-0.338411460575894,0,0,0,0,0,0,0,0,0,1,0,0,1,0
-0.9846968568407028,1.0,-0.4514099904455127,0.1767471830550451,1.0,0.7038862161954852,-0.338411460575894,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.29446413019391204,1.0,-1.1873930706025244,-0.623343409283939,1.0,0.37608564144073564,2.412227853577506,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.357151719422669,1.0,1.1661607648984553,0.9768377753940293,1.0,1.495928966262658,-1.026071289114244,0,0,0,0,0,0,0,0,0,0,1,0,0,1
-1.0437350562423005,1.0,6.782515929766471e-16,-1.4234340016229232,1.0,-0.8738726307353565,-0.338411460575894,0,0,0,0,0,0,0,0,0,1,0,0,0,1
-0.23687966442046646,1.0,1.264611536989436,1.7769283677330134,1.0,-0.5614091969884254,1.036908196500806,0,0,0,0,0,0,0,0,0,1,0,0,1,0
-0.17784146501886883,1.0,1.3943953310323243,0.9768377753940293,1.0,1.2202135067841793,0.34924836796245595,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1.7704191152338522,1.0,0.3162778572135298,1.7769283677330134,1.0,-2.130877436072156,0.34924836796245595,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.0422813226141483,1.0,-0.8461812994056679,0.9768377753940293,1.0,0.0258076674533492,1.724568025039156,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1.140678321616811,1.0,0.7271463458067404,0.9768377753940293,1.0,0.9165269337739923,1.036908196500806,0,0,0,0,0,0,0,0,0,0,1,0,0,1
-0.9650174570401703,1.0,-1.622861400397789,0.1767471830550451,1.0,0.14974747742487482,-0.338411460575894,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.0226019228136158,1.0,1.2262256706045715,0.9768377753940293,1.0,1.0918994131265058,1.036908196500806,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.4949075180263967,1.0,-0.9068292669142071,0.1767471830550451,1.0,-0.9593224429110018,-1.026071289114244,0,0,0,0,0,0,0,0,1,0,0,0,1,0
-0.9059792576385727,1.0,6.782515929766471e-16,-1.4234340016229232,1.0,-0.7989318327948022,-0.338411460575894,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.1603577214173435,1.0,0.2757064650472677,-1.4234340016229232,1.0,0.6669021279438261,-0.338411460575894,0,0,0,0,0,0,0,0,1,0,0,0,1,0
-1.2602084540481584,1.0,6.782515929766471e-16,-0.623343409283939,1.0,-0.7233496963636931,-0.338411460575894,0,0,0,0,0,1,0,0,0,0,0,0,1,0
-0.4730324620268569,1.0,6.782515929766471e-16,-0.623343409283939,1.0,1.003692131659091,-0.338411460575894,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.6093345270024326,1.0,1.3380992662822246,0.1767471830550451,1.0,0.18892271889497994,-0.338411460575894,0,0,0,0,0,0,0,0,0,0,1,0,0,1
-1.4766818518540161,1.0,6.782515929766471e-16,-1.4234340016229232,1.0,0.0,-0.338411460575894,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-1.7915522486625368,1.0,0.4862391284247823,-0.623343409283939,1.0,-0.33497930707571555,-0.338411460575894,0,0,0,0,0,0,0,0,0,1,0,0,1,0
-1.3782848528513536,1.0,-0.014944864151238683,1.7769283677330134,1.0,-1.7892998414148724,1.724568025039156,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-0.7288646594337799,1.0,-1.0265977229512533,-1.4234340016229232,1.0,-0.3086986101094961,-0.338411460575894,0,0,0,0,0,0,0,0,0,1,0,0,0,1
-2.6180870402849035,1.0,6.782515929766471e-16,-2.2235245939619075,1.0,0.0,-0.338411460575894,0,0,0,0,0,0,0,0,0,0,0,1,1,0
